word	rt.g1.n	rt.g1.m	rt.g1.se	rt.g2.n	rt.g2.m	rt.g2.se	rt.g3.n	rt.g3.m	rt.g3.se	rt.g4.n	rt.g4.m	rt.g4.se	rt.g6.n	rt.g6.m	rt.g6.se	rt.ya.n	rt.ya.m	rt.ya.se	rt.oa.n	rt.oa.m	rt.oa.se
Flöte	16	3302	323	19	1685	160	21	1219	97	19	1049	81	26	736	43	19	574	29	20	694	32
Flugzeug	NA	NA	NA	23	1894	171	21	1209	97	21	974	73	29	790	45	21	572	28	20	663	30
flüssig	NA	NA	NA	18	2252	217	19	1458	120	20	1085	82	29	752	43	22	570	28	20	719	33
flüstern	NA	NA	NA	18	1997	192	22	1416	111	18	1098	86	27	836	49	20	567	28	21	676	31
folgen	NA	NA	NA	18	1991	192	18	1302	109	17	1018	81	26	746	44	21	565	28	21	700	32
Form	14	3245	328	20	1680	157	21	1181	95	18	1048	82	24	844	51	17	598	31	18	726	34
Foto	17	2469	238	21	1319	122	20	1061	86	21	986	74	27	681	40	21	561	27	21	676	31
fragen	NA	NA	NA	18	1645	158	21	1247	99	21	976	73	27	729	43	21	560	27	20	669	31
Frau	13	2606	269	23	1639	148	20	1114	90	20	903	69	29	687	39	22	528	26	19	639	30
frech	NA	NA	NA	18	1828	176	17	1279	109	19	981	76	28	736	43	20	593	29	21	662	30
frei	NA	NA	NA	25	1617	143	18	1058	88	20	919	70	30	725	41	20	581	29	20	671	31
Freitag	19	3540	331	21	1940	179	22	1165	92	19	929	72	28	723	42	21	554	27	20	628	29
fremd	NA	NA	NA	20	2026	190	17	1293	110	21	960	72	27	780	46	22	549	27	20	645	30
fressen	NA	NA	NA	17	1970	193	20	1269	103	21	933	70	24	758	46	21	582	29	20	667	31
Freude	16	3820	373	16	1643	163	20	1239	101	21	950	71	28	815	47	21	553	27	19	644	30
freuen	NA	NA	NA	23	2215	200	18	1492	125	19	1184	91	30	796	45	20	566	28	20	663	30
Freundin	15	4276	425	24	2239	200	20	1354	110	21	972	73	29	754	43	22	600	29	20	668	31
freundlich	NA	NA	NA	22	2235	204	18	1636	137	20	1146	87	28	745	43	20	565	28	20	668	31
Frieden	12	4801	505	20	2342	219	18	1457	122	18	1095	86	29	789	45	21	568	28	20	664	30
frieren	NA	NA	NA	17	2879	282	19	1760	145	20	1386	105	21	906	57	19	642	32	20	741	34
frisch	NA	NA	NA	20	1969	184	22	1266	100	20	1146	87	29	842	48	20	600	30	20	685	31
froh	NA	NA	NA	16	1613	160	22	1125	89	19	1011	78	22	764	47	20	555	28	21	700	32
Frosch	16	3153	308	18	1610	155	21	1141	91	17	908	72	28	742	43	19	549	28	20	721	33
Frost	5	3224	421	17	2084	204	17	1520	129	18	1302	102	26	808	48	20	573	28	19	672	31
früh	NA	NA	NA	22	1857	170	19	1186	97	20	1001	76	30	662	38	21	518	25	20	658	30
Frühjahr	NA	NA	NA	20	2551	239	21	1633	130	20	1246	95	30	785	44	22	565	27	20	684	31
Frühling	NA	NA	NA	17	2245	220	21	1315	105	18	949	74	28	752	43	20	592	29	20	663	30
fühlen	NA	NA	NA	22	2172	198	21	1373	110	23	1030	75	27	772	45	22	538	26	20	666	31
führen	NA	NA	NA	19	2330	221	17	1437	122	19	1137	88	29	787	45	21	527	26	20	652	30
füllen	NA	NA	NA	22	1894	173	16	1488	129	18	972	76	30	750	43	18	610	31	20	654	30
Füller	18	3079	292	14	2242	231	21	1166	93	20	1057	80	28	707	41	20	590	29	21	746	34
Furcht	13	4045	417	14	2725	281	17	1668	142	18	1322	103	23	888	54	19	574	29	21	702	32
Fuß	13	2183	225	19	1140	108	20	1033	84	18	808	63	27	664	39	21	533	26	21	659	30
Fußball	14	3207	324	20	1499	140	22	1147	90	18	923	72	28	718	42	21	537	26	20	666	31
Futter	18	2811	267	19	1606	153	16	1158	100	19	905	70	27	708	41	19	575	29	20	681	31
füttern	NA	NA	NA	20	2028	190	20	1316	107	19	1043	80	27	783	46	20	545	27	21	691	31
Gabel	16	3259	319	21	1755	162	23	1240	97	19	965	74	26	814	48	21	576	28	20	661	30
Gang	5	3236	423	15	1887	191	17	1265	107	17	1012	81	27	805	47	20	570	28	20	664	30
Gans	16	2927	286	22	1557	142	17	1245	106	18	972	76	29	777	44	21	573	28	20	648	30
Garten	17	3274	315	20	1668	156	20	1080	87	20	958	73	28	772	45	20	555	28	21	635	29
Gas	14	2562	259	13	1656	174	12	1257	118	14	1089	92	21	757	48	21	599	29	19	661	31
Gast	13	3334	344	16	1637	163	18	1347	112	20	909	69	26	764	45	19	554	28	21	644	29
Gebäude	NA	NA	NA	15	2233	226	20	1521	124	17	961	76	27	800	47	20	547	27	19	660	31
geben	NA	NA	NA	20	1704	160	19	1350	111	23	1022	74	28	763	44	18	610	31	19	660	31
Geburtstag	NA	NA	NA	18	1784	172	20	1209	98	20	870	66	27	718	42	21	560	27	21	658	30
Gefahr	18	3710	352	21	1906	176	21	1145	92	22	953	70	30	730	41	22	564	27	20	636	29
Gegend	NA	NA	NA	13	2547	268	12	1538	145	19	1266	97	26	863	51	22	563	27	20	693	32
Gegensatz	NA	NA	NA	14	2693	277	14	2001	180	18	1424	111	26	987	58	20	598	30	20	737	34
Gegenteil	NA	NA	NA	17	2660	260	19	1774	146	19	1182	91	26	971	57	21	624	31	21	707	32
Geheimnis	NA	NA	NA	18	2236	215	21	1535	123	18	1072	84	27	834	49	21	565	28	20	701	32
gehen	NA	NA	NA	20	1507	141	18	1096	92	21	892	67	25	725	43	20	545	27	20	630	29
Geist	16	2697	264	21	1704	158	17	1061	90	19	944	73	30	734	42	22	564	27	20	661	30
gelb	NA	NA	NA	23	1520	137	20	946	77	21	892	67	29	717	41	22	566	27	20	626	29
Geld	16	3008	294	22	1543	141	20	996	81	23	840	61	29	673	39	21	542	27	20	656	30
gelingen	NA	NA	NA	16	2661	265	17	1734	148	18	1285	101	22	895	55	20	609	30	20	737	34
gelten	NA	NA	NA	9	2521	293	10	1598	159	15	1480	122	26	958	57	20	654	32	21	778	35
gemein	NA	NA	NA	21	2279	211	20	1414	115	18	1040	81	27	879	51	21	573	28	20	746	34
Gemüse	20	3355	310	25	1619	143	19	1148	94	20	867	66	30	699	40	22	540	26	19	632	29
General	13	4126	425	22	2603	238	19	1958	161	21	1454	109	27	964	56	21	600	29	20	711	33
genießen	NA	NA	NA	14	2142	221	20	1537	125	17	1129	90	27	769	45	20	576	29	21	688	31
Gerät	11	3655	393	19	2003	190	18	1425	119	22	1050	77	29	753	43	22	544	26	19	643	30
Geschäft	13	3337	344	18	2060	198	21	1223	98	22	1113	82	29	830	47	22	550	27	20	649	30
geschehen	NA	NA	NA	17	2941	288	16	1904	165	19	1473	114	23	948	58	16	656	34	19	776	36
Geschenk	16	3914	383	17	2063	202	20	1329	108	19	909	70	26	757	45	19	545	27	21	660	30
Geschichte	NA	NA	NA	16	2076	206	18	1383	116	19	1176	91	26	777	46	21	529	26	20	697	32
Geschwister	NA	NA	NA	17	2691	263	19	1338	110	19	1127	87	27	790	46	21	558	27	19	697	32
Gesicht	18	3425	325	22	2044	187	20	1511	122	20	978	74	28	792	46	21	548	27	20	664	30
Gespenst	9	3936	446	22	2132	195	20	1217	99	22	1041	77	25	850	51	20	580	29	19	663	31
gesund	NA	NA	NA	18	1878	181	21	1122	90	19	997	77	27	752	44	20	582	29	21	641	29
gewinnen	NA	NA	NA	22	1929	176	20	1306	106	22	1028	76	30	755	43	21	578	28	20	682	31
Gewinner	19	3580	335	19	2160	205	19	1306	107	20	1083	82	27	768	45	21	546	27	21	676	31
gewöhnen	NA	NA	NA	17	2385	233	22	1632	128	16	1084	88	27	798	47	21	596	29	19	695	32
Gier	NA	NA	NA	5	2376	322	15	1512	134	13	1080	93	14	915	64	17	580	30	20	694	32
gießen	NA	NA	NA	16	1957	195	18	1482	124	19	1099	85	25	881	53	20	616	31	19	704	33
Gießkanne	NA	NA	NA	18	2620	252	22	1689	133	17	1246	99	26	898	53	21	646	32	21	702	32
Gift	18	2984	283	19	1703	162	19	1273	105	19	938	72	26	754	45	18	581	30	20	661	30
Giraffe	21	3510	320	18	1967	190	21	1227	98	18	940	74	24	837	51	20	605	30	20	719	33
glänzen	NA	NA	NA	14	2384	246	18	1387	116	18	1194	94	27	803	47	19	590	30	20	693	32
Glas	13	2670	275	20	1616	151	20	1094	89	19	845	65	28	667	39	20	545	27	20	637	29
glatt	NA	NA	NA	18	1719	166	21	1286	103	19	1062	82	26	799	47	20	602	30	21	688	31
glauben	NA	NA	NA	23	1982	179	22	1383	109	21	1056	79	28	784	45	19	575	29	20	664	30
Gletscher	NA	NA	NA	15	2672	270	11	2074	200	17	1425	113	23	908	56	19	693	35	19	731	34
Glocke	18	3113	295	20	1885	177	19	1256	103	19	945	73	30	737	42	21	559	27	20	660	30
Glück	14	2987	302	22	1430	131	23	1068	83	18	788	62	30	658	37	21	511	25	20	657	30
Gold	15	3004	299	20	1432	134	23	1009	79	20	817	62	30	716	41	21	532	26	20	657	30
Goldfisch	NA	NA	NA	21	2647	245	19	1583	130	21	1141	85	29	837	48	22	592	29	19	731	34
Grab	8	3328	388	23	1912	173	18	1294	108	17	1057	84	26	774	46	20	594	29	19	677	31
Grad	NA	NA	NA	9	2119	246	11	1240	120	7	1168	118	21	867	54	18	570	29	18	704	33
Gras	17	2781	268	24	1543	138	20	1033	84	20	902	69	27	752	44	21	535	26	19	673	31
grau	NA	NA	NA	17	1751	171	20	1147	93	21	970	73	26	692	41	21	566	28	21	644	29
greifen	NA	NA	NA	18	2049	197	22	1430	113	20	1111	84	27	810	47	18	604	31	20	732	34
groß	NA	NA	NA	22	1406	128	21	1097	88	18	877	69	29	740	42	22	548	27	18	680	32
Großmutter	NA	NA	NA	20	2407	225	21	1438	115	19	1019	79	28	795	46	21	583	29	21	677	31
Großvater	14	4672	472	21	2447	226	20	1287	104	20	1065	81	29	794	45	21	562	28	20	695	32
grün	NA	NA	NA	24	1487	133	15	1160	102	19	922	71	27	683	40	22	531	26	20	632	29
Grund	9	3551	402	19	1899	180	17	1250	106	21	985	74	31	794	45	21	535	26	19	677	31
Gruppe	16	3318	324	20	1731	162	19	1135	93	19	976	75	28	697	40	22	546	26	19	636	30
grüßen	NA	NA	NA	16	1962	195	19	1322	109	20	1006	76	27	809	47	20	579	29	20	640	29
gucken	NA	NA	NA	19	2144	204	15	1744	154	15	1143	94	24	826	50	21	590	29	20	704	32
Gurke	13	3259	336	18	1904	183	16	1229	106	19	1006	78	29	782	45	20	536	27	20	673	31
Gürtel	11	3560	383	17	2232	218	20	1485	121	20	1032	78	26	819	48	20	566	28	20	653	30
gut	NA	NA	NA	18	1237	119	18	1124	94	18	767	60	28	697	40	21	533	26	21	640	29
Haar	16	2857	279	20	1620	152	20	966	78	22	916	68	30	699	40	21	548	27	20	658	30
Hacke	14	3625	367	17	2027	198	15	1364	120	16	1190	96	26	873	52	16	620	33	18	702	33
Hafen	NA	NA	NA	10	2152	243	14	1139	102	18	984	77	25	774	46	18	628	32	18	669	32
Hahn	11	3452	371	17	1847	181	20	1175	95	21	1018	76	28	671	39	22	538	26	19	630	29
Hai	11	2832	305	18	1491	144	23	1158	90	18	937	73	28	739	43	19	588	30	20	675	31
Hälfte	16	4294	420	22	2540	232	18	1583	133	23	1412	103	24	901	54	21	624	31	20	735	34
Hals	17	3220	310	21	1501	139	19	1181	97	22	968	71	28	740	43	22	531	26	20	653	30
Halstuch	NA	NA	NA	19	2587	246	15	1868	165	21	1229	92	28	978	57	20	628	31	19	740	34
halten	NA	NA	NA	23	1816	164	20	1360	110	22	1010	75	27	802	47	20	570	28	21	677	31
Hammer	14	3209	325	19	1649	157	22	1135	90	22	971	72	25	758	45	21	556	27	21	685	31
Hamster	17	3473	334	19	1770	168	19	1314	108	17	921	73	27	734	43	20	570	28	20	713	33
Hand	15	2680	267	22	1600	146	21	1015	81	23	890	65	30	655	37	22	504	24	19	646	30
handeln	NA	NA	NA	17	2525	247	19	1586	130	19	1164	90	28	883	51	22	606	29	19	689	32
hängen	NA	NA	NA	18	1944	187	19	1332	110	18	1054	83	27	769	45	21	543	27	20	705	32
Hase	18	2462	234	20	1406	132	22	1034	82	21	893	67	26	694	41	21	553	27	21	656	30
hauen	NA	NA	NA	22	2308	211	20	1286	104	20	984	75	26	886	52	22	615	30	20	795	37
Haufen	16	3084	301	17	1953	191	17	1343	114	19	1135	87	27	850	50	18	583	30	21	670	30
Hauptstadt	NA	NA	NA	12	2491	268	17	1686	144	22	1150	85	27	827	48	20	578	29	20	716	33
Haus	18	2422	230	24	1303	116	18	948	79	19	871	67	29	684	39	22	521	25	20	632	29
Hausfrau	NA	NA	NA	16	2365	235	19	1664	137	18	1169	92	24	786	48	20	580	29	20	680	31
Haustür	14	3646	369	18	2545	245	19	1485	122	19	1118	86	27	842	49	21	609	30	20	716	33
Haut	18	2689	255	22	1542	141	20	1222	99	20	887	67	28	744	43	21	524	26	20	659	30
Hebel	NA	NA	NA	12	2453	264	19	1466	121	17	1340	107	21	870	55	20	600	30	19	728	34
heben	NA	NA	NA	18	2398	231	20	1317	107	18	1221	96	25	798	48	20	621	31	18	734	35
Hecke	17	3350	323	17	1861	182	16	1381	120	22	977	72	23	740	45	20	560	28	21	721	33
Heft	13	2661	274	20	1469	138	22	1059	84	21	944	71	26	745	44	20	577	29	18	690	33
heiraten	NA	NA	NA	17	2532	248	20	1444	117	20	1222	93	27	846	49	20	551	27	21	706	32
heiß	NA	NA	NA	19	1719	163	22	1149	90	17	942	75	27	703	41	20	551	27	21	685	31
heißen	NA	NA	NA	21	1939	179	21	1155	92	17	1105	88	26	765	45	20	574	28	20	736	34
heizen	NA	NA	NA	16	2091	208	16	1429	124	21	1137	85	27	866	51	20	572	28	20	683	31
Heizung	19	3395	318	18	1964	189	21	1307	104	21	1187	89	27	730	43	21	538	26	20	651	30
helfen	NA	NA	NA	18	1629	157	22	1149	90	19	1056	81	28	749	43	19	556	28	20	644	30
hell	NA	NA	NA	22	1498	137	18	1037	87	19	952	73	26	666	39	21	523	26	20	692	32
Hemd	14	3371	341	21	1516	140	22	1155	91	21	874	65	29	753	43	22	536	26	20	646	30
Herbst	17	3326	320	21	1562	144	20	1211	98	20	975	74	31	685	38	21	536	26	20	620	28
Herd	12	3206	337	20	2062	193	17	1244	106	18	989	77	26	814	48	22	544	26	20	642	29
Herr	20	2672	247	19	1311	125	18	1115	93	19	891	69	27	756	44	20	543	27	21	660	30
Herz	17	2613	252	20	1530	143	20	996	81	22	820	61	30	680	39	21	535	26	19	632	29
Heu	NA	NA	NA	20	1785	167	15	1243	110	20	1008	77	26	778	46	18	584	30	20	710	33
Hexe	13	2314	239	18	1414	136	20	1196	97	20	942	71	29	697	40	22	537	26	20	650	30
Hilfe	15	2889	287	19	1578	150	21	1156	93	20	861	65	28	689	40	20	573	28	20	681	31
Himmel	19	2890	270	26	1550	136	20	1069	87	18	936	73	29	682	39	21	572	28	19	682	32
Hitze	11	3260	351	17	2014	197	21	1177	94	20	1002	76	27	734	43	19	572	29	20	669	31
hoch	NA	NA	NA	21	1778	164	19	1217	100	16	887	72	28	753	44	17	609	31	19	684	32
Hof	10	2533	279	23	1372	124	19	1034	85	17	924	74	28	702	41	19	535	27	20	634	29
hoffen	NA	NA	NA	22	1999	183	20	1407	114	22	1030	76	27	795	46	22	564	27	20	657	30
Höhle	NA	NA	NA	15	1896	192	19	1266	104	20	1055	80	27	733	43	21	565	28	21	689	31
holen	NA	NA	NA	18	1672	161	18	1375	115	18	1040	81	26	773	46	19	606	30	21	680	31
Holz	19	2539	238	26	1474	129	22	1106	87	21	862	65	28	676	39	21	562	28	20	622	29
Honig	14	3028	306	19	1747	166	19	1058	87	21	894	67	26	721	43	20	546	27	20	656	30
hören	NA	NA	NA	24	1566	140	18	1079	90	17	945	75	26	709	42	22	553	27	18	675	32
Horn	17	3007	289	21	1724	159	18	1327	111	16	993	80	24	785	47	20	589	29	20	661	30
Hose	16	2338	229	22	1222	112	23	932	73	21	903	68	30	698	40	22	531	26	19	682	32
Hotel	NA	NA	NA	16	1742	173	19	1225	101	21	1000	75	26	702	41	21	568	28	21	669	30
hübsch	NA	NA	NA	19	2038	194	20	1635	133	21	1026	77	25	782	47	20	547	27	21	674	31
Huhn	13	3276	338	22	1768	162	20	1220	99	20	799	61	30	735	42	22	531	26	20	638	29
Hund	16	2386	233	20	1219	114	22	954	75	19	863	67	28	692	40	21	523	26	21	624	28
Hunger	12	3827	403	17	1663	163	19	1198	99	20	1017	77	28	698	40	21	546	27	20	666	31
hüpfen	NA	NA	NA	17	2021	198	18	1109	93	20	962	73	25	779	47	20	614	30	21	695	32
husten	NA	NA	NA	18	2036	196	20	1257	102	22	1140	84	28	846	49	22	600	29	20	715	33
Hut	16	2358	231	22	1372	125	21	976	78	15	848	70	30	737	42	21	568	28	20	628	29
Hütte	13	3289	339	20	2014	189	19	1219	100	19	1060	82	26	789	47	21	576	28	21	706	32
Idee	7	3190	385	17	1741	170	20	1150	93	21	971	73	27	706	41	20	566	28	20	679	31
Igel	15	2809	279	18	1473	142	20	1046	85	21	1002	75	28	754	44	20	569	28	19	686	32
Iglu	17	3128	301	17	1999	196	17	1517	129	13	1177	101	20	978	62	15	671	36	17	883	42
Indianer	NA	NA	NA	12	2392	257	19	1391	114	16	1131	92	26	869	51	21	602	29	21	689	31
Insel	13	3251	335	18	1789	172	21	1174	94	17	884	70	27	749	44	20	530	26	20	663	30
Interesse	NA	NA	NA	14	2490	257	19	1618	133	19	1234	95	28	922	53	21	589	29	20	716	33
irren	NA	NA	NA	18	2378	229	13	1545	142	12	1281	113	20	987	63	18	622	32	20	717	33
Jacke	11	3122	336	24	1603	143	21	1146	91	22	880	65	30	720	41	22	578	28	20	662	30
jagen	NA	NA	NA	17	2060	202	20	1506	122	21	1113	83	25	885	53	18	572	29	20	719	33
Jahr	15	2715	270	14	1389	143	20	1077	87	21	945	71	26	687	41	21	537	26	20	642	29
Jahrhundert	NA	NA	NA	12	3197	343	18	2008	168	19	1418	109	27	944	55	21	615	30	21	714	32
Januar	16	3647	357	18	1651	159	21	1187	95	21	970	73	27	758	44	19	556	28	21	679	31
jucken	NA	NA	NA	12	2572	276	13	1537	141	15	1295	107	16	988	67	16	606	32	16	714	35
Jugend	6	3990	500	19	2241	213	17	1465	124	19	1294	100	30	843	48	21	530	26	20	661	30
Juli	14	3268	331	22	1776	162	21	1361	109	20	921	70	29	732	42	19	546	27	20	651	30
Junge	16	2852	279	19	1559	148	16	949	82	17	881	70	27	706	41	21	537	26	21	643	29
Juni	14	3278	332	23	1459	132	21	1060	85	20	886	67	28	721	42	21	551	27	19	643	30
Juwel	NA	NA	NA	14	2226	229	12	1585	149	11	1244	112	14	957	67	13	596	33	20	749	34
Käfer	14	2475	250	21	1710	158	21	1042	83	20	957	73	27	699	41	21	578	28	19	660	31
Kaffee	15	3288	327	26	1884	165	19	1105	91	18	932	73	29	707	40	22	526	25	20	633	29
Kaiser	7	4245	512	19	2283	217	17	1332	113	18	1115	87	28	847	49	19	575	29	21	671	30
Kakao	NA	NA	NA	16	1864	185	18	1153	97	19	998	77	27	758	44	20	573	28	20	689	32
Kaktus	13	3578	369	18	2379	229	22	1578	125	19	1145	88	21	891	56	17	636	33	19	738	34
Kalender	13	4170	430	21	2193	203	20	1619	131	23	1152	84	29	753	43	22	583	28	20	651	30
kalt	NA	NA	NA	16	1471	146	21	1064	85	18	1022	80	27	790	46	19	572	29	21	652	30
Kamel	11	3283	353	17	1657	162	19	1557	128	13	1159	100	21	828	52	19	619	31	20	721	33
Kamm	14	2365	239	20	1679	157	18	1081	90	20	959	73	26	778	46	18	601	31	20	672	31
Kampf	NA	NA	NA	13	1798	189	21	1147	92	20	927	70	27	681	40	20	541	27	20	648	30
Kanal	12	3323	350	21	2125	197	16	1366	118	17	1176	94	29	763	44	21	562	28	20	638	29
Känguru	NA	NA	NA	17	2232	218	19	1473	121	17	1247	99	27	896	52	19	673	34	13	936	48
Kaninchen	14	3889	393	16	2131	212	20	1481	120	22	1199	88	28	859	50	19	603	30	21	719	33
Kantine	NA	NA	NA	10	2178	246	16	1673	145	16	1529	124	14	936	66	20	638	32	21	661	30
Kapitän	6	4577	573	21	2348	217	15	1496	132	20	1219	93	31	817	46	21	578	28	19	698	32
kaputt	NA	NA	NA	20	1832	172	21	1276	102	23	1025	75	26	773	46	22	574	28	20	689	32
Kapuze	13	3946	407	22	2702	247	16	1463	127	16	1265	102	25	905	54	21	590	29	20	710	33
Karte	16	3176	310	22	1981	181	19	1354	111	20	1026	78	29	765	44	21	590	29	20	660	30
Kartoffel	NA	NA	NA	23	2086	188	23	1285	100	21	1042	78	29	783	45	21	570	28	19	689	32
Käse	19	2583	242	20	1374	129	17	1045	89	17	848	68	28	669	39	21	542	27	19	636	30
Kasse	21	2851	260	21	1869	173	17	1107	94	20	945	72	30	732	41	21	537	26	20	628	29
Kastanie	NA	NA	NA	18	2520	243	19	1534	126	17	1275	101	21	910	57	20	602	30	20	669	31
Kasten	12	3260	343	19	1925	183	23	1421	110	18	1006	79	28	773	45	21	591	29	21	658	30
Kater	11	3085	332	21	1858	172	19	1293	107	21	1111	83	29	780	45	21	614	30	20	687	32
Katze	15	2930	291	23	1380	125	19	1074	88	19	937	72	30	668	38	21	522	26	20	645	30
kauen	NA	NA	NA	20	1833	172	18	1293	108	19	1041	80	27	868	51	20	626	31	20	678	31
kaufen	NA	NA	NA	23	1585	143	22	1145	90	20	915	70	29	688	39	22	514	25	20	670	31
kehren	NA	NA	NA	11	2432	268	17	1719	146	17	1294	103	22	940	58	19	666	33	21	718	33
Keks	18	3056	290	22	1681	154	18	1124	94	18	938	73	26	767	45	22	564	27	20	650	30
Keller	10	3113	343	16	1836	183	21	1177	94	20	993	75	29	764	44	22	548	27	20	651	30
kennen	NA	NA	NA	21	1758	163	18	1223	102	22	1047	77	29	738	42	20	546	27	19	689	32
Kerze	19	3147	294	15	1753	177	19	1332	110	20	906	69	27	742	43	20	564	28	21	659	30
Kette	NA	NA	NA	14	1637	169	17	1266	108	21	835	62	26	691	41	19	550	28	21	646	29
Kilometer	NA	NA	NA	19	2407	229	19	1682	139	16	1234	100	27	842	49	20	590	29	20	772	35
Kind	19	2382	223	18	1375	132	20	1019	83	22	818	60	28	661	38	20	511	25	20	644	30
Kindergarten	NA	NA	NA	20	2386	224	23	1455	113	19	1141	88	28	858	50	21	595	29	19	684	32
Kinn	9	2670	302	15	1865	189	16	1388	120	18	1053	82	28	787	45	20	612	30	19	676	31
Kino	12	2454	258	18	1463	141	20	1011	82	20	860	65	27	685	40	21	550	27	20	632	29
kippen	NA	NA	NA	15	2101	212	16	1522	132	22	1160	86	27	836	49	21	656	32	20	729	33
Kirche	13	3168	327	18	2066	199	21	1273	102	22	1003	74	28	729	42	21	564	28	21	626	28
Kissen	12	3014	317	17	1732	169	18	1147	96	18	959	75	24	763	46	20	586	29	19	691	32
Kiste	17	2892	278	22	1802	165	19	1315	108	23	945	69	31	803	45	21	540	26	19	645	30
kitzeln	NA	NA	NA	19	2431	231	16	1802	156	23	1408	103	27	889	52	20	667	33	20	785	36
klagen	NA	NA	NA	14	2561	264	15	1443	127	18	1131	89	23	831	51	19	593	30	21	691	31
klappen	NA	NA	NA	16	2166	215	21	1479	118	17	1059	84	25	776	46	20	606	30	20	778	36
Klasse	15	2812	279	21	1602	148	18	1086	91	19	966	74	29	713	41	22	533	26	20	646	30
klauen	NA	NA	NA	16	1771	176	20	1198	97	18	1051	82	27	726	42	20	587	29	20	699	32
kleben	NA	NA	NA	17	2076	203	17	1250	106	22	1041	77	26	796	47	21	584	29	21	686	31
Klee	10	3548	391	16	1629	162	20	1104	90	17	1025	82	23	758	46	18	576	29	20	678	31
Kleid	16	3089	302	16	1662	165	21	1112	89	21	871	65	27	720	42	21	543	27	21	658	30
klein	NA	NA	NA	19	1549	147	18	1212	101	20	892	68	26	719	42	19	564	28	20	652	30
klettern	NA	NA	NA	19	1928	183	20	1307	106	20	1075	82	26	784	46	21	574	28	19	733	34
klingeln	NA	NA	NA	17	2196	215	19	1579	130	21	1111	83	30	781	44	22	546	26	19	651	30
klingen	NA	NA	NA	21	2441	226	19	1538	127	18	1004	79	27	849	50	21	630	31	20	681	31
klopfen	NA	NA	NA	18	2172	209	18	1412	118	21	1014	76	28	800	46	21	589	29	21	674	31
klug	NA	NA	NA	20	1794	168	21	1115	89	21	1005	75	30	769	44	22	538	26	20	672	31
knallen	NA	NA	NA	15	2261	229	17	1575	134	20	1282	97	26	867	51	19	586	29	19	751	35
Knie	14	3556	360	18	1802	174	17	1276	108	19	962	74	28	765	44	21	594	29	21	662	30
Knochen	15	3550	353	18	2185	211	18	1458	122	20	1124	85	28	764	44	21	561	28	20	726	33
Knopf	17	3547	341	22	1718	157	21	1248	100	21	1020	76	28	752	43	21	530	26	20	665	31
Knoten	15	3592	357	19	2058	195	21	1418	113	21	1159	87	27	803	47	21	577	28	19	715	33
knurren	NA	NA	NA	17	2509	245	15	1577	139	17	1166	93	28	930	54	19	681	34	19	703	33
kochen	NA	NA	NA	14	1399	144	20	1205	98	22	850	63	24	714	43	21	597	29	21	652	30
Koffer	15	3198	318	19	1864	177	19	1146	94	23	1080	79	29	761	44	20	569	28	20	670	31
kommen	NA	NA	NA	24	1687	151	19	1199	99	17	926	74	30	729	41	21	563	28	20	662	30
Kompass	11	3468	373	19	2359	224	20	1300	105	22	956	71	26	822	49	21	591	29	20	693	32
König	14	2858	289	23	1484	134	21	1013	81	21	857	64	31	707	40	22	557	27	20	621	29
Konzert	16	3707	362	16	2115	210	18	1558	130	19	1115	86	25	814	49	20	561	28	21	690	31
Kopf	17	2463	237	18	1332	128	22	1062	84	18	904	71	27	718	42	21	526	26	21	625	28
Korn	17	2972	286	19	1657	157	22	1132	89	20	1027	78	27	759	44	20	571	28	20	681	31
Körper	12	3115	328	19	1720	163	22	1223	96	19	1002	77	24	689	42	21	527	26	21	640	29
kosten	NA	NA	NA	18	1863	179	17	1414	120	19	1073	83	29	843	48	21	548	27	20	680	31
Krach	12	3397	357	16	2038	203	20	1396	113	17	1061	84	24	836	51	20	563	28	21	650	29
Kraft	18	2976	282	21	1661	154	19	1160	95	20	1042	79	31	741	42	22	542	26	19	658	31
Kragen	NA	NA	NA	14	2327	240	18	1510	126	23	1163	85	27	950	55	19	620	31	20	676	31
Krähe	6	3530	442	17	1921	188	17	1554	132	23	1144	83	27	858	50	21	641	31	20	668	31
Kralle	19	3699	346	16	2066	205	17	1423	121	18	1210	95	24	882	53	19	623	31	20	709	33
krank	NA	NA	NA	22	2167	198	20	1267	103	23	924	67	30	703	40	22	527	25	20	656	30
Krankheit	NA	NA	NA	15	2321	235	22	1634	129	20	1098	83	28	745	43	21	565	28	21	691	31
kratzen	NA	NA	NA	18	2427	234	16	1538	133	17	1161	92	29	889	51	19	633	32	20	703	32
Krebs	14	3734	378	17	1948	191	20	1227	100	20	967	73	28	758	44	21	566	28	21	692	31
Kreide	14	3271	331	16	2306	229	21	1281	103	20	1063	81	25	790	47	20	568	28	19	663	31
Kreis	12	3202	337	18	1753	169	19	1258	104	22	1035	76	27	737	43	20	552	27	20	645	30
Kreisel	17	3765	362	22	2071	189	18	1491	124	22	1120	83	27	929	54	21	604	30	20	731	34
kriechen	NA	NA	NA	19	2514	239	20	1383	112	21	1114	83	31	865	49	22	628	30	20	726	33
Krieg	15	3700	368	19	2125	202	21	1345	108	18	964	75	27	745	44	21	542	27	21	642	29
kriegen	NA	NA	NA	16	2376	236	19	1670	138	22	1226	91	30	833	47	21	604	30	20	690	32
Krokodil	NA	NA	NA	22	2219	203	22	1538	121	18	1080	85	24	793	48	21	622	30	21	687	31
