subject	session	condition	trial	prime	target	target_category	response_time	accuracy
4	3	Cz	1	sociale	stazza	q	934.0	1	
4	3	Cz	2	quantità	frazione	q	1019.4000000000001	1	
4	3	Cz	3	sociale	immensità	q	1077.4	1	
4	3	Cz	4	sociale	ingrandimento	q	708.8000000000002	1	
4	3	Cz	5	sociale	infamia	s	850.9000000000001	1	
4	3	Cz	6	sociale	catasta	q	691.8000000000002	1	
4	3	Cz	7	quantità	carenza	q	907.2000000000003	1	
4	3	Cz	8	sociale	cumulo	q	1153.8000000000002	1	
4	3	Cz	9	sociale	diminuzione	q	862.8000000000002	1	
4	3	Cz	10	quantità	penuria	q	598.8000000000002	1	
4	3	Cz	11	quantità	alleanza	s	625.5999999999999	1	
4	3	Cz	12	quantità	cospirazione	s	747.5999999999999	1	
4	3	Cz	13	quantità	grandezza	q	872.3000000000002	1	
4	3	Cz	14	quantità	servitù	s	1024.5	1	
4	3	Cz	15	sociale	enormità	q	738.5	1	
4	3	Cz	16	quantità	lusinga	s	583.9000000000001	0	
4	3	Cz	17	quantità	addizione	q	571.5	1	
4	3	Cz	18	sociale	patto	s	1167.5	1	
4	3	Cz	19	sociale	dilatazione	q	627.5	1	
4	3	Cz	20	sociale	grossezza	q	637.0999999999999	1	
4	3	Cz	21	quantità	tradizione	s	774.5	1	
4	3	Cz	22	quantità	catasta	q	930.5999999999999	1	
4	3	Cz	23	sociale	rivalità	s	632.0	1	
4	3	Cz	24	sociale	carico	q	681.4000000000001	1	
4	3	Cz	25	sociale	competizione	s	712.9000000000001	1	
4	3	Cz	26	sociale	frazione	q	598.9000000000001	1	
4	3	Cz	27	sociale	lusinga	s	569.7000000000003	1	
4	3	Cz	28	quantità	socievolezza	s	637.7000000000003	1	
4	3	Cz	29	quantità	diffamazione	s	703.2000000000003	1	
4	3	Cz	30	quantità	incremento	q	605.9000000000001	1	
4	3	Cz	31	quantità	dispetto	s	1040.6	1	
4	3	Cz	32	sociale	addizione	q	562.2000000000003	1	
4	3	Cz	33	quantità	grossezza	q	630.0999999999999	1	
4	3	Cz	34	sociale	sudditanza	s	687.5	1	
4	3	Cz	35	quantità	cumulo	q	631.0999999999999	1	
4	3	Cz	36	sociale	grandezza	q	1088.5	1	
4	3	Cz	37	quantità	allargamento	q	679.9000000000001	1	
4	3	Cz	38	sociale	incremento	q	879.4000000000001	1	
4	3	Cz	39	quantità	enormità	q	590.8000000000002	1	
4	3	Cz	40	sociale	relazione	s	674.2000000000003	1	
4	3	Cz	41	sociale	notorietà	s	1490.3000000000002	1	
4	3	Cz	42	quantità	sudditanza	s	1465.7000000000003	1	
4	3	Cz	43	sociale	riduzione	q	889.8000000000002	1	
4	3	Cz	44	quantità	competizione	s	969.0999999999999	1	
4	3	Cz	45	quantità	nomea	s	845.4000000000001	1	
4	3	Cz	46	quantità	notorietà	s	1806.0000000000005	1	
4	3	Cz	47	quantità	offesa	s	688.9000000000001	1	
4	3	Cz	48	sociale	carenza	q	784.2000000000003	1	
4	3	Cz	49	quantità	accumulo	q	891.5999999999999	1	
4	3	Cz	50	sociale	plebe	s	1579.2000000000003	1	
4	3	Cz	51	sociale	quintale	q	734.5999999999999	1	
4	3	Cz	52	sociale	accrescimento	q	764.0999999999999	1	
4	3	Cz	53	sociale	tradizione	s	1488.0	1	
4	3	Cz	54	sociale	porzione	q	695.5999999999999	1	
4	3	Cz	55	quantità	estensione	q	966.4000000000001	1	
4	3	Cz	56	quantità	quintale	q	658.5	1	
4	3	Cz	57	quantità	emarginazione	s	891.0999999999999	1	
4	3	Cz	58	sociale	mole	q	634.5	1	
4	3	Cz	59	quantità	etnia	s	707.9000000000001	1	
4	3	Cz	60	sociale	emarginazione	s	1282.7000000000003	1	
4	3	Cz	61	sociale	sfacciataggine	s	906.0999999999999	1	
4	3	Cz	62	sociale	altruismo	s	729.0	1	
4	3	Cz	63	sociale	estensione	q	766.4000000000001	1	
4	3	Cz	64	sociale	nomea	s	570.5	1	
4	3	Cz	65	sociale	dissenso	s	1406.6	1	
4	3	Cz	66	sociale	massa	q	489.2000000000003	1	
4	3	Cz	67	quantità	accrescimento	q	896.8000000000002	1	
4	3	Cz	68	sociale	venerazione	s	631.5999999999999	1	
4	3	Cz	69	sociale	gentilezza	s	761.0	1	
4	3	Cz	70	sociale	accumulo	q	837.0999999999999	1	
4	3	Cz	71	quantità	diminuzione	q	646.5	1	
4	3	Cz	72	quantità	carico	q	647.0999999999999	1	
4	3	Cz	73	quantità	scherzo	s	591.9000000000001	1	
4	3	Cz	74	sociale	espansione	q	899.4000000000001	1	
4	3	Cz	75	sociale	tonnellata	q	626.2000000000003	1	
4	3	Cz	76	quantità	dissenso	s	723.5	1	
4	3	Cz	77	sociale	penuria	q	561.7000000000003	1	
4	3	Cz	78	quantità	gentilezza	s	773.8000000000002	1	
4	3	Cz	79	sociale	decremento	q	777.9000000000001	1	
4	3	Cz	80	quantità	porzione	q	829.2000000000003	1	
4	3	Cz	81	quantità	infamia	s	598.7000000000003	1	
4	3	Cz	82	quantità	venerazione	s	921.5	1	
4	3	Cz	83	quantità	complotto	s	975.4000000000001	1	
4	3	Cz	84	sociale	servitù	s	995.7000000000003	1	
4	3	Cz	85	sociale	allargamento	q	902.4000000000001	1	
4	3	Cz	86	sociale	complotto	s	573.2000000000003	1	
4	3	Cz	87	sociale	alleanza	s	1121.3000000000002	1	
4	3	Cz	88	quantità	dilatazione	q	1159.4	1	
4	3	Cz	89	quantità	espansione	q	1027.4	1	
4	3	Cz	90	quantità	altruismo	s	1292.9	1	
4	3	Cz	91	quantità	fascino	s	1571.7000000000003	1	
